-SABD,"ACh,FLP-11"
-SABVL,"ACh,FLP-11"
-SABVR,"ACh,FLP-11"
-SDQL,ACh
-SDQR,ACh
-SIADL,"ACh,PDF-1"
-SIADR,"ACh,PDF-1"
-SIAVL,"ACh,PDF-1"
-SIAVR,"ACh,PDF-1"
-SIBDL,ACh
-SIBDR,ACh
-SIBVL,ACh
-SIBVR,ACh
-SMBDL,ACh
-SMBDR,ACh
-SMBVL,ACh
-SMBVR,ACh
-SMDDL,"ACh,GABA,FLP-22"
-SMDDR,"ACh,GABA,FLP-22"
-SMDVL,"ACh,GABA,FLP-7,FLP-22"
-SMDVR,"ACh,GABA,FLP-7,FLP-22"
-URADL,"ACh,FLP-21,FLP-22"
-URADR,"ACh,FLP-21,FLP-22"
-URAVL,"ACh,FLP-21,FLP-22"
-URAVR,"ACh,FLP-21,FLP-22"
-URBL,ACh
-URBR,ACh
-URXL,"ACh,FLP-10,FLP-21,FLP-11"
-URXR,"ACh,FLP-10,FLP-21,FLP-11"
-URYDL,Glu
-URYDR,Glu
-URYVL,Glu
-URYVR,Glu
-VA01,ACh
-VA02,ACh
-VA03,ACh
-VA04,ACh
-VA05,ACh
-VA06,ACh
-VA07,ACh
-VA08,ACh
-VA09,ACh
-VA10,ACh
-VA11,ACh
-VA12,ACh
-VB01,ACh
-VB02,ACh
-VB03,ACh
-VB04,ACh
-VB05,ACh
-VB06,ACh
-VB07,ACh
-VB08,ACh
-VB09,ACh
-VB10,ACh
-VB11,ACh
-VC01,"ACh,NTC-1"
-VC02,"ACh,NTC-1"
-VC03,"ACh,NTC-1"
-VC04,"ACh,5HT,NTC-1"
-VC05,"ACh,5HT,NTC-1"
-VC06,"ACh,NTC-1"
-VD01,"GABA,NTC-1,FLP-11"
-VD02,"GABA,NTC-1,FLP-11"
-VD03,"GABA,NTC-1,FLP-11"
-VD04,"GABA,NTC-1,FLP-11"
-VD05,"GABA,NTC-1,FLP-11"
-VD06,"GABA,NTC-1,FLP-11"
-VD07,"GABA,NTC-1,FLP-11"
-VD08,"GABA,NTC-1,FLP-11"
-VD09,"GABA,NTC-1,FLP-11"
-VD10,"GABA,NTC-1,FLP-11"
-VD11,"GABA,NTC-1,FLP-11"
-VD12,"GABA,NTC-1,FLP-11"
-VD13,"GABA,NTC-1,FLP-11"
-I1L,"ACh,NLP-3"
-I1R,"ACh,NLP-3"
-I2L,"Glu,FLP-5,FLP-15,NLP-3"
-I2R,"Glu,FLP-5,FLP-15,NLP-3"
-I3,"ACh,NLP-3"
-I4,"FLP-5,NLP-3,NLP-13"
-I5,"Glu,5HT,FLP-2,FLP-4,FLP-13"
-I6,"FLP-4,NLP-3"
-M1,ACh
